sep=,
Time,Temperature,Voltage,Current
s,deg.C/100,V,mA

1010.9845099449,1.074,10.031,1199
1011.4844698906,1.074,10.031,1199
1011.9844799042,1.074,10.032,1199
1012.4844400883,1.075,10.032,1199
1012.9844799042,1.075,10.031,1199
1013.4845099449,1.075,10.031,1199
1013.9845099449,1.075,10.031,1199
1014.4845099449,1.076,10.032,1199
1014.9845099449,1.076,10.031,1199
1015.4844799042,1.076,10.031,1199
1015.9844799042,1.076,10.031,1199
1016.4845099449,1.077,10.031,1199
1016.9844799042,1.077,10.031,1199
1017.4845199585,1.077,10.031,1199
1017.9844899178,1.077,10.031,1199
1018.4844799042,1.077,10.031,1199
1018.9845099449,1.077,10.031,1199
1019.4845199585,1.077,10.031,1199
1019.9844799042,1.077,10.032,1199
1020.4844501019,1.077,10.032,1199
1020.9844999313,1.078,10.031,1199
1021.4845099449,1.078,10.032,1199
1021.9845099449,1.078,10.031,1198
1022.4845099449,1.078,10.031,1199
1022.9845099449,1.078,10.031,1198
1023.4845099449,1.078,10.032,1199
1023.9845099449,1.078,10.031,1198
1024.4844200611,1.079,10.031,1199
1024.9844999313,1.078,10.032,1198
1025.4844799042,1.079,10.032,1199
1025.9844799042,1.079,10.032,1199
1026.4844799042,1.079,10.031,1199
1026.9844799042,1.079,10.031,1198
1027.4844400883,1.079,10.031,1199
1027.9845099449,1.079,10.031,1199
1028.4844698906,1.08,10.031,1199
1028.9845099449,1.08,10.032,1198
1029.4844400883,1.08,10.032,1198
1029.9845099449,1.08,10.031,1198
1030.4844698906,1.08,10.031,1198
1030.9845099449,1.08,10.032,1199
1031.4844899178,1.08,10.032,1198
1031.9845099449,1.081,10.031,1199
1032.4844799042,1.08,10.031,1199
1032.9844799042,1.081,10.032,1199
1033.4844601154,1.081,10.032,1199
1033.9845099449,1.082,10.032,1199
1034.4845099449,1.081,10.031,1199
1034.9844799042,1.082,10.031,1199
1035.4845099449,1.082,10.031,1199
1035.9845099449,1.083,10.031,1199
